Ht_cm,Wt_kg,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,y
182.5,99.45,4.83,29.0,,109.0,7.49,4.54,37.0,459.0,787.0,58.3,5752.0,7.3,7.0,45.0,25.0,132.2,0
187.5,101.25,5.06,31.5,,101.0,7.14,4.37,,,,,,,,,,,0
192.5,106.2,4.8,33.5,,115.0,7.29,4.33,44.0,613.0,1031.0,59.5,7635.0,7.4,6.7,48.0,37.0,129.8,0
187.5,96.75,4.61,31.5,,106.0,7.03,4.3,8.0,19.0,30.0,63.3,169.0,5.6,4.8,1.0,1.0,115.0,0
187.5,101.25,4.81,33.0,,116.0,7.08,4.32,14.0,25.0,48.0,52.1,459.0,9.6,11.2,4.0,0.0,159.9,0
182.5,93.6,4.95,26.5,,111.0,7.02,4.29,47.0,808.0,1292.0,62.5,10936.0,8.5,8.5,83.0,35.0,149.4,0
177.5,87.3,4.6,,,,,,41.0,307.0,628.0,48.9,5099.0,8.1,7.4,37.0,26.0,128.3,0
190.0,103.05,5.0,29.0,,103.0,7.41,4.52,47.0,880.0,1556.0,56.6,11453.0,7.4,7.0,78.0,48.0,128.8,0
187.5,100.8,4.5,34.5,,114.0,7.24,4.39,38.0,268.0,421.0,63.7,2983.0,7.1,6.5,16.0,13.0,129.5,0
190.0,103.05,4.72,33.0,,110.0,7.18,4.37,20.0,189.0,373.0,50.7,2325.0,6.2,5.9,16.0,10.0,111.8,0
187.5,99.45,4.77,27.5,,109.0,7.06,4.36,19.0,381.0,591.0,64.5,5600.0,9.5,9.6,30.0,12.0,156.8,0
182.5,92.25,4.87,,,,,,40.0,611.0,1118.0,54.7,8830.0,7.9,7.6,70.0,39.0,134.7,0
180.0,92.7,4.66,34.0,,116.0,7.07,4.33,43.0,480.0,733.0,65.5,6074.0,8.3,8.8,56.0,16.0,155.9,0
182.5,105.3,4.82,34.5,,108.0,7.32,4.4,45.0,387.0,769.0,50.3,5409.0,7.0,6.6,42.0,26.0,120.7,0
180.0,95.4,4.77,32.0,,110.0,,4.4,48.0,829.0,1355.0,61.2,10727.0,7.9,8.0,86.0,37.0,143.2,0
185.0,94.95,5.16,28.5,,103.0,7.59,4.42,31.0,443.0,844.0,52.5,5273.0,6.2,5.0,21.0,32.0,105.6,0
185.0,98.1,4.87,28.5,,104.0,7.03,4.13,17.0,265.0,453.0,58.5,3325.0,7.3,6.6,16.0,15.0,125.2,0
182.5,98.55,4.86,30.5,,106.0,7.43,4.44,,,,,,,,,,,0
187.5,101.7,4.93,34.5,,123.0,6.96,4.25,47.0,580.0,1029.0,56.4,7287.0,7.1,6.4,36.0,32.0,121.2,0
187.5,104.4,5.08,27.0,,105.0,7.32,4.45,43.0,887.0,1412.0,62.8,9746.0,6.9,6.6,60.0,35.0,129.9,0
177.5,98.1,4.57,30.5,,115.0,,,37.0,275.0,430.0,64.0,3731.0,8.7,9.0,30.0,10.0,155.2,0
187.5,104.4,4.8,26.5,,112.0,,4.41,,,,,,,,,,,0
187.5,96.75,4.61,31.5,,106.0,7.03,4.3,8.0,19.0,30.0,63.3,169.0,5.6,4.8,1.0,1.0,115.0,0
187.5,91.8,4.87,,,,,,35.0,1014.0,1634.0,62.1,11308.0,6.9,6.6,90.0,50.0,132.2,0
185.0,105.75,4.72,,21.0,,,,41.0,444.0,738.0,60.2,5742.0,7.8,8.0,43.0,16.0,140.4,0
192.5,112.95,4.75,29.0,,119.0,7.28,4.31,37.0,650.0,1109.0,58.6,8011.0,7.2,7.3,67.0,27.0,134.4,0
